fifth_place_age,fifth_place_boat,fifth_place_height,fifth_place_lane,fifth_place_motor,fifth_place_name,fifth_place_rank,fifth_place_weight,first_place_age,first_place_boat,first_place_height,first_place_lane,first_place_motor,first_place_name,first_place_rank,first_place_weight,fourth_place_age,fourth_place_boat,fourth_place_height,fourth_place_lane,fourth_place_motor,fourth_place_name,fourth_place_rank,fourth_place_weight,link,race_name,race_place,race_title,second_place_age,second_place_boat,second_place_height,second_place_lane,second_place_motor,second_place_name,second_place_rank,second_place_weight,sixth_place_age,sixth_place_boat,sixth_place_height,sixth_place_lane,sixth_place_motor,sixth_place_name,sixth_place_rank,sixth_place_weight,third_place_age,third_place_boat,third_place_height,third_place_lane,third_place_motor,third_place_name,third_place_rank,third_place_weight
(50),74,163,4,57,石川真二,A1,53,(33),62,169,2,22,渡辺崇,A2,56,(24),67,158,6,38,西岡成美,B1,46,https://race.kyotei.club/info/info-20201212-14-4.html,鳴門,鳴門,アペックス杯競走 [第3日],(40),76,170,1,81,大久保信一郎,A2,53,(24),36,166,5,28,道上千夏,B1,49,(23),10,159,3,62,加倉侑征,B1,51
(31),68,158,1,10,杉山勝匡,B1,51,(46),39,163,5,55,松尾基成,B1,57,(33),14,163,3,29,井上尚悟,B1,51,https://race.kyotei.club/info/info-20201212-14-5.html,鳴門,鳴門,アペックス杯競走 [第3日],(39),54,166,2,59,興津藍,A1,50,(33),73,165,4,37,大井清貴,B1,53,(32),52,167,6,67,中村辰也,A2,52
(41),17,163,5,72,冨成謙児,B1,54,(36),32,167,2,35,中越博紀,A1,55,(52),81,160,6,66,藤本佳史,A2,51,https://race.kyotei.club/info/info-20201212-14-6.html,鳴門,鳴門,アペックス杯競走 [第3日],(30),13,164,1,69,野田部宏子,B1,53,(52),51,156,3,34,矢野真梨菜,B2,45,(56),30,167,4,18,落合敬一,B1,56
(24),23,163,4,31,前原大道,B1,53,(25),31,168,5,36,上田龍星,A1,52,(32),26,165,3,51,小林文彦,A2,53,https://race.kyotei.club/info/info-20201212-14-7.html,鳴門,鳴門,アペックス杯競走 [第3日],(45),84,170,2,82,樋口亮,B1,52,(32),56,170,6,17,新井英孝,B1,53,(47),15,161,1,53,豊田聡,B1,51
(47),29,157,3,39,水口由紀,B1,48,(46),37,164,1,60,梶原正,B1,56,(23),10,159,4,62,加倉侑征,B1,51,https://race.kyotei.club/info/info-20201212-14-8.html,鳴門,鳴門,アペックス杯競走 [第3日],(29),21,169,5,33,高倉和士,A1,54,(23),80,170,2,84,半田尚也,B1,55,(43),58,156,6,26,香川素子,A1,47
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-8.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(27),75,165,6,52,下寺秀和,A2,56,(39),54,166,3,59,興津藍,A1,50,(33),60,164,4,73,古澤光紀,A1,54,https://race.kyotei.club/info/info-20201212-14-11.html,鳴門,鳴門,アペックス杯競走 [第3日],(52),81,160,2,66,藤本佳史,A2,51,(33),66,165,5,78,松田憲幸,A2,53,(32),26,165,1,51,小林文彦,A2,53
(34),28,162,2,77,末永由楽,A1,54,(30),13,164,4,69,野田部宏子,B1,53,(35),73,165,6,37,大井清貴,B1,53,https://race.kyotei.club/info/info-20201212-14-10.html,鳴門,鳴門,アペックス杯競走 [第3日],(36),27,166,1,65,山口裕太,B1,53,(35),38,165,5,32,西野翔太,A2,52,(50),74,163,3,57,石川真二,A1,53
(51),53,159,6,58,柏野幸二,A1,52,(47),24,158,3,11,鳥飼眞,A1,50,(46),39,163,2,55,松尾基成,B1,57,https://race.kyotei.club/info/info-20201212-14-9.html,鳴門,鳴門,アペックス杯競走 [第3日],(51),82,158,1,83,池上隆行,B1,53,(46),16,,5,50,清水愛海,B2,46,(40),76,170,4,81,大久保信一郎,A2,53
(22),38,168,1,10,櫻井優,B1,54,(22),8,162,4,28,福田翔吾,B1,54,(20),6,163,6,6,小林孝彰,B2,53,https://race.kyotei.club/info/info-20201212-15-1.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(24),60,174,2,30,石田貴洋,B1,52,(20),65,166,5,65,山田丈,B2,51,(25),58,168,3,50,松井友汰,B1,54
(19),27,169,6,64,常盤海心,B2,53,(29),10,173,2,49,原村拓也,B2,51,(24),4,162,4,36,佐々木完太,B1,50,https://race.kyotei.club/info/info-20201212-15-2.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(28),21,170,1,63,木場悠介,B1,53,(24),26,157,5,1,上原健次郎,B1,53,(25),43,168,3,33,溝口海義也,B1,53
(32),5,163,6,35,橋本明,B1,54,(25),54,166,1,44,松本純平,B1,58,(29),46,172,5,12,田邉亮蔵,B1,57,https://race.kyotei.club/info/info-20201212-15-3.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(23),66,168,2,61,大賀龍之介,B1,55,(29),12,166,3,25,鈴木秀茉,B1,51,(22),48,166,4,7,藤原孝斗,B1,56
(24),31,170,2,34,江頭賢太,B1,53,(22),56,168,4,47,山田真聖,B1,55,(31),29,164,5,66,石川諒,B1,51,https://race.kyotei.club/info/info-20201212-15-4.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(24),30,168,6,38,入海馨,A2,54,(31),45,167,3,46,眞鳥康太,B1,55,(27),57,166,1,8,吉田凌太朗,B1,50
(24),41,172,6,26,井上忠政,A2,53,(22),16,163,1,24,田頭虎親,B1,54,(28),34,169,3,5,菊池宏志,B1,55,https://race.kyotei.club/info/info-20201212-15-5.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(25),3,175,2,59,内山峻輔,B1,53,(28),6,163,5,6,小林孝彰,B2,53,(23),13,164,4,27,宗行治哉,B1,50
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-10.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(25),26,157,6,1,上原健次郎,B1,53,(29),63,167,4,31,島村隆幸,A1,51,(22),52,166,1,13,高橋竜矢,A2,52,https://race.kyotei.club/info/info-20201212-15-6.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(28),33,170,3,60,妻鳥晋也,B1,56,(22),8,162,2,28,福田翔吾,B1,54,(25),43,168,5,33,溝口海義也,B1,53
(24),36,165,6,43,新開航,A1,51,(27),23,164,1,41,石丸海渡,A1,55,(25),58,168,2,50,松井友汰,B1,54,https://race.kyotei.club/info/info-20201212-15-7.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(23),66,168,5,61,大賀龍之介,B1,55,(25),46,172,4,12,田邉亮蔵,B1,57,(26),49,164,3,4,梅木敬太,B1,53
(24),31,170,3,34,江頭賢太,B1,53,(27),47,167,4,58,近江翔吾,A2,52,(24),30,168,2,38,入海馨,A2,54,https://race.kyotei.club/info/info-20201212-15-8.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(24),4,162,5,36,佐々木完太,B1,50,(24),65,166,6,65,山田丈,B2,51,(24),44,173,1,29,前田篤哉,A2,50
(26),45,167,2,46,眞鳥康太,B1,55,(29),10,173,3,49,原村拓也,B2,51,(24),41,172,4,26,井上忠政,A2,53,https://race.kyotei.club/info/info-20201212-15-9.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(28),34,169,1,5,菊池宏志,B1,55,(24),12,166,6,25,鈴木秀茉,B1,51,(24),60,174,5,30,石田貴洋,B1,52
(25),54,166,6,44,松本純平,B1,58,(28),33,170,1,60,妻鳥晋也,B1,56,(22),52,166,4,13,高橋竜矢,A2,52,https://race.kyotei.club/info/info-20201212-15-10.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(27),23,164,5,41,石丸海渡,A1,55,(22),48,166,2,7,藤原孝斗,B1,56,(22),16,163,3,24,田頭虎親,B1,54
(27),57,166,5,8,吉田凌太朗,B1,50,(29),63,167,1,31,島村隆幸,A1,51,(25),3,175,4,59,内山峻輔,B1,53,https://race.kyotei.club/info/info-20201212-15-11.html,丸亀,丸亀,スカパー!・JLC杯争奪ルーキーシリーズ第24戦 [第6日],(27),47,167,2,58,近江翔吾,A2,52,(25),38,168,6,10,櫻井優,B1,54,(24),44,173,3,29,前田篤哉,A2,50
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-16-3.html,,,BTS井原開設7周年記念競走 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
